Complaint_ID,Consumer_complaint_narrative,Narrative_Length,Chunks
2321847,"School balance was turned over to a collection agency. The agency was never in contact with me and the debt was paid to the school directly, who provided me with a receipt. The collection agency refuses to remove the collection from my credit reports even though the debt was not paid to them.",293,"['School balance was turned over to a collection agency. The agency was never in contact with me and the debt was paid to the school directly, who provided me with a receipt. The collection agency refuses to remove the collection from my credit reports even though the debt was not paid to them.']"
2382606,I spoke with the bank Representative around XXXX2017 to request a payout information for my HELOC  Home Equity Line of Credit . The bank representative never disclosed to me about any fees whatsoever. A few days after that I notice a 25.00 fee assessed by the bank.,265,['I spoke with the bank Representative around XXXX2017 to request a payout information for my HELOC  Home Equity Line of Credit . The bank representative never disclosed to me about any fees whatsoever. A few days after that I notice a 25.00 fee assessed by the bank.']
2376700,Mailings packet from American Express Gold Card does not provide any information about the rate of interest that will charged in the entire content included in the solicitation to apply for the credit card.,206,['Mailings packet from American Express Gold Card does not provide any information about the rate of interest that will charged in the entire content included in the solicitation to apply for the credit card.']
2274211,Bank of America has illegally placed an inquiry on my credit report on XXXX2016. When I called they can not locate my information on why this inquiry was placed. The inquiry still has not been removed. Please remove from my XXXX credit report. Thank you,253,['Bank of America has illegally placed an inquiry on my credit report on XXXX2016. When I called they can not locate my information on why this inquiry was placed. The inquiry still has not been removed. Please remove from my XXXX credit report. Thank you']
2418769,I had no communication or knowledge of account going into collections.,70,['I had no communication or knowledge of account going into collections.']
2421316,Trans Union had an  inquiry issue  Trans union deleted XXXX inquiries from my trans union credit report. About a week later they replaced these items back on my report. They never sent me any letters or attempted to make contact with me to let me know they added items back on to my report..,291,['Trans Union had an  inquiry issue  Trans union deleted XXXX inquiries from my trans union credit report. About a week later they replaced these items back on my report. They never sent me any letters or attempted to make contact with me to let me know they added items back on to my report..']
2337822,"I have send dispute letter to XXXX, XXXX and Experian asking the verifiable proof for the accounts thay have filed in my report. 
They have failed to prove them to me.",167,"['I have send dispute letter to XXXX, XXXX and Experian asking the verifiable proof for the accounts thay have filed in my report. \nThey have failed to prove them to me.']"
2419589,I was reviewing my credit report and notice an account that I do not recognize. I have not received any documentation validating the debt that they are trying to collect. I have not been provided with a contract or any instrument bearing my signature validating that this debt is mine.,285,['I was reviewing my credit report and notice an account that I do not recognize. I have not received any documentation validating the debt that they are trying to collect. I have not been provided with a contract or any instrument bearing my signature validating that this debt is mine.']
2275946,"Payments were paid to XXXX funds, and my loan was sent to collections anyway.",77,"['Payments were paid to XXXX funds, and my loan was sent to collections anyway.']"
2273540,"My identity was stolen in XXXX2009. A XXXX XXXX. He obtained a DL and opened a fradulent loan with the DL. I filed a police report and an investigation was done. Afterwards, there was a warrant issued for his arrest.",216,"['My identity was stolen in XXXX2009. A XXXX XXXX. He obtained a DL and opened a fradulent loan with the DL. I filed a police report and an investigation was done. Afterwards, there was a warrant issued for his arrest.']"
2426478,I ve recently pulled my credit report and discovered that this company has reported that I owe them a debt. To my knowledge I have never done business with this company and neither have they provided me with services or goods,225,['I ve recently pulled my credit report and discovered that this company has reported that I owe them a debt. To my knowledge I have never done business with this company and neither have they provided me with services or goods']
2426200,made my wife s credit card payment on time and they still assessed a late payment fee and will not reverse it,109,['made my wife s credit card payment on time and they still assessed a late payment fee and will not reverse it']
2426454,Multiple debt on medical bills the debt collector can not tell me dates or service or for whom,94,['Multiple debt on medical bills the debt collector can not tell me dates or service or for whom']
2336986,"I have asked NAVIENT via the required forms to release my father as a cosigner. NAVIENT insists that they never receive my US Postal mail, even though I have certified it and have proof that they have indeed received it. This game has gone for over a year.",256,"['I have asked NAVIENT via the required forms to release my father as a cosigner. NAVIENT insists that they never receive my US Postal mail, even though I have certified it and have proof that they have indeed received it. This game has gone for over a year.']"
2378121,"XXXX unauthorized inquiries, disputed but still reporting information that is verified on report",96,"['XXXX unauthorized inquiries, disputed but still reporting information that is verified on report']"
2272857,I received a call from someone identifying them selves as EOS CCA refused to tell me why they were calling unless I gave them personal information the caller id number was a XXXX number when I asked him where was calling from he said XXXX,238,['I received a call from someone identifying them selves as EOS CCA refused to tell me why they were calling unless I gave them personal information the caller id number was a XXXX number when I asked him where was calling from he said XXXX']
2275159,"I have a list of XXXX companies that are reporting the same debt on my credit report and its affecting my score. the companies are XXXX XXXX XXXX, XXXX XXXX XXXX and Harvest Associates INC. they all say I owe XXXX XXXX Hospital",227,"['I have a list of XXXX companies that are reporting the same debt on my credit report and its affecting my score. the companies are XXXX XXXX XXXX, XXXX XXXX XXXX and Harvest Associates INC. they all say I owe XXXX XXXX Hospital']"
